ORG_row,ORGID,Industry,Threats,TTP_input,MatchHow,TechniqueID,TechniqueName,TacticsCSV
0,1,Ransomware,Remote Access Trojan,Signed Binary Proxy Execution,alias_id,T1218,System Binary Proxy Execution,defense-evasion
0,1,Ransomware,Remote Access Trojan,Network Service Scanning,alias_id,T1046,Network Service Discovery,discovery
1,2,Supply Chain,DDoS;Web Shell,Command and Scripting Interpreter,alias_id,T1059,Command and Scripting Interpreter,execution
1,2,Supply Chain,DDoS;Web Shell,Service Stop,alias_id,T1489,Service Stop,impact
1,2,Supply Chain,DDoS;Web Shell,Discovery,name_contains,T1033,System Owner/User Discovery,discovery
1,2,Supply Chain,DDoS;Web Shell,Defense Evasion,name_contains,T1211,Exploitation for Defense Evasion,defense-evasion
1,2,Supply Chain,DDoS;Web Shell,Exfiltration,name_contains,T1567,Exfiltration Over Web Service,exfiltration
2,3,Insider Threat,Banking Trojan;Ransomware;Crypto Miner,Data Exfiltration Over Web Service,alias_id,T1567.002,Exfiltration to Cloud Storage,exfiltration
2,3,Insider Threat,Banking Trojan;Ransomware;Crypto Miner,Network Service Scanning,alias_id,T1046,Network Service Discovery,discovery
2,3,Insider Threat,Banking Trojan;Ransomware;Crypto Miner,User Execution,alias_id,T1204,User Execution,execution
2,3,Insider Threat,Banking Trojan;Ransomware;Crypto Miner,Brute Force,alias_id,T1110,Brute Force,credential-access
2,3,Insider Threat,Banking Trojan;Ransomware;Crypto Miner,Access Token Manipulation,alias_id,T1134,Access Token Manipulation,"defense-evasion,privilege-escalation"
2,3,Insider Threat,Banking Trojan;Ransomware;Crypto Miner,Data Staged,alias_id,T1074,Data Staged,collection
2,3,Insider Threat,Banking Trojan;Ransomware;Crypto Miner,Bypass User Account Control,alias_id,T1548.002,Bypass User Account Control,"privilege-escalation,defense-evasion"
2,3,Insider Threat,Banking Trojan;Ransomware;Crypto Miner,Scheduled Task/Job,alias_id,T1053,Scheduled Task/Job,"execution,persistence,privilege-escalation"
2,3,Insider Threat,Banking Trojan;Ransomware;Crypto Miner,Windows Management Instrumentation,alias_id,T1047,Windows Management Instrumentation,execution
3,4,Banking Trojan,Phishing;Banking Trojan,Spearphishing Attachment,name_exact,T1598.002,Spearphishing Attachment,reconnaissance
3,4,Banking Trojan,Phishing;Banking Trojan,Signed Binary Proxy Execution,alias_id,T1218,System Binary Proxy Execution,defense-evasion
3,4,Banking Trojan,Phishing;Banking Trojan,Phishing,name_exact,T1566,Phishing,initial-access
3,4,Banking Trojan,Phishing;Banking Trojan,Execution,name_contains,T1548.004,Elevated Execution with Prompt,"privilege-escalation,defense-evasion"
3,4,Banking Trojan,Phishing;Banking Trojan,Command and Control,name_contains,T1094,Custom Command and Control Protocol,command-and-control
4,5,Banking Trojan,Phishing,Data Staged,alias_id,T1074,Data Staged,collection
4,5,Banking Trojan,Phishing,Unsecured Credentials,name_exact,T1552,Unsecured Credentials,credential-access
4,5,Banking Trojan,Phishing,User Execution,alias_id,T1204,User Execution,execution
4,5,Banking Trojan,Phishing,Masquerading,name_exact,T1036,Masquerading,defense-evasion
5,6,Web Shell,Data Breach;Supply Chain,Account Discovery,name_exact,T1087,Account Discovery,discovery
5,6,Web Shell,Data Breach;Supply Chain,Boot or Logon Autostart Execution,name_exact,T1547,Boot or Logon Autostart Execution,"persistence,privilege-escalation"
5,6,Web Shell,Data Breach;Supply Chain,Remote Services,name_exact,T1021,Remote Services,lateral-movement
5,6,Web Shell,Data Breach;Supply Chain,Phishing,name_exact,T1566,Phishing,initial-access
5,6,Web Shell,Data Breach;Supply Chain,Process Injection,name_exact,T1055,Process Injection,"defense-evasion,privilege-escalation"
6,7,Remote Access Trojan,Web Shell;Insider Threat;Remote Access Trojan,Execution,name_contains,T1548.004,Elevated Execution with Prompt,"privilege-escalation,defense-evasion"
6,7,Remote Access Trojan,Web Shell;Insider Threat;Remote Access Trojan,Drive-by Compromise,name_exact,T1189,Drive-by Compromise,initial-access
6,7,Remote Access Trojan,Web Shell;Insider Threat;Remote Access Trojan,Signed Binary Proxy Execution,alias_id,T1218,System Binary Proxy Execution,defense-evasion
6,7,Remote Access Trojan,Web Shell;Insider Threat;Remote Access Trojan,Valid Accounts,alias_id,T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation,initial-access"
6,7,Remote Access Trojan,Web Shell;Insider Threat;Remote Access Trojan,Privilege Escalation,name_contains,T1068,Exploitation for Privilege Escalation,privilege-escalation
6,7,Remote Access Trojan,Web Shell;Insider Threat;Remote Access Trojan,Discovery,name_contains,T1033,System Owner/User Discovery,discovery
6,7,Remote Access Trojan,Web Shell;Insider Threat;Remote Access Trojan,Impact,name_contains,T1486,Data Encrypted for Impact,impact
6,7,Remote Access Trojan,Web Shell;Insider Threat;Remote Access Trojan,Exfiltration,name_contains,T1567,Exfiltration Over Web Service,exfiltration
6,7,Remote Access Trojan,Web Shell;Insider Threat;Remote Access Trojan,Account Manipulation,name_exact,T1098,Account Manipulation,"persistence,privilege-escalation"
7,8,Web Shell,Phishing,Defense Evasion,name_contains,T1211,Exploitation for Defense Evasion,defense-evasion
7,8,Web Shell,Phishing,Scripting,name_exact,T1064,Scripting,"defense-evasion,execution"
7,8,Web Shell,Phishing,Data Staged,alias_id,T1074,Data Staged,collection
7,8,Web Shell,Phishing,Account Manipulation,name_exact,T1098,Account Manipulation,"persistence,privilege-escalation"
8,9,DDoS,Web Shell;Remote Access Trojan,Command and Scripting Interpreter,alias_id,T1059,Command and Scripting Interpreter,execution
8,9,DDoS,Web Shell;Remote Access Trojan,Data Staged,alias_id,T1074,Data Staged,collection
8,9,DDoS,Web Shell;Remote Access Trojan,File and Directory Discovery,name_exact,T1083,File and Directory Discovery,discovery
8,9,DDoS,Web Shell;Remote Access Trojan,Exfiltration,name_contains,T1567,Exfiltration Over Web Service,exfiltration
8,9,DDoS,Web Shell;Remote Access Trojan,Scheduled Task/Job,alias_id,T1053,Scheduled Task/Job,"execution,persistence,privilege-escalation"
9,10,Remote Access Trojan,Ransomware,Credential Access,name_contains,T1212,Exploitation for Credential Access,credential-access
9,10,Remote Access Trojan,Ransomware,Remote System Discovery,name_exact,T1018,Remote System Discovery,discovery
9,10,Remote Access Trojan,Ransomware,Process Injection,name_exact,T1055,Process Injection,"defense-evasion,privilege-escalation"
10,11,Web Shell,DDoS;Remote Access Trojan,Defense Evasion,name_contains,T1211,Exploitation for Defense Evasion,defense-evasion
10,11,Web Shell,DDoS;Remote Access Trojan,Valid Accounts,alias_id,T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation,initial-access"
10,11,Web Shell,DDoS;Remote Access Trojan,Service Stop,alias_id,T1489,Service Stop,impact
10,11,Web Shell,DDoS;Remote Access Trojan,Drive-by Compromise,name_exact,T1189,Drive-by Compromise,initial-access
10,11,Web Shell,DDoS;Remote Access Trojan,Rootkit,name_exact,T1014,Rootkit,defense-evasion
11,12,Supply Chain,Phishing;Data Breach;Crypto Miner,Data Staged,alias_id,T1074,Data Staged,collection
11,12,Supply Chain,Phishing;Data Breach;Crypto Miner,Application Window Discovery,name_exact,T1010,Application Window Discovery,discovery
11,12,Supply Chain,Phishing;Data Breach;Crypto Miner,Unsecured Credentials,name_exact,T1552,Unsecured Credentials,credential-access
11,12,Supply Chain,Phishing;Data Breach;Crypto Miner,Exfiltration,name_contains,T1567,Exfiltration Over Web Service,exfiltration
11,12,Supply Chain,Phishing;Data Breach;Crypto Miner,Boot or Logon Autostart Execution,name_exact,T1547,Boot or Logon Autostart Execution,"persistence,privilege-escalation"
11,12,Supply Chain,Phishing;Data Breach;Crypto Miner,Obfuscated Files or Information,name_exact,T1027,Obfuscated Files or Information,defense-evasion
11,12,Supply Chain,Phishing;Data Breach;Crypto Miner,Execution,name_contains,T1548.004,Elevated Execution with Prompt,"privilege-escalation,defense-evasion"
12,13,Remote Access Trojan,Ransomware,Trusted Relationship,name_exact,T1199,Trusted Relationship,initial-access
12,13,Remote Access Trojan,Ransomware,Boot or Logon Autostart Execution,name_exact,T1547,Boot or Logon Autostart Execution,"persistence,privilege-escalation"
12,13,Remote Access Trojan,Ransomware,Brute Force,alias_id,T1110,Brute Force,credential-access
13,14,Insider Threat,Banking Trojan;Remote Access Trojan,Network Service Scanning,alias_id,T1046,Network Service Discovery,discovery
13,14,Insider Threat,Banking Trojan;Remote Access Trojan,Drive-by Compromise,name_exact,T1189,Drive-by Compromise,initial-access
13,14,Insider Threat,Banking Trojan;Remote Access Trojan,Access Token Manipulation,alias_id,T1134,Access Token Manipulation,"defense-evasion,privilege-escalation"
13,14,Insider Threat,Banking Trojan;Remote Access Trojan,Remote System Discovery,name_exact,T1018,Remote System Discovery,discovery
13,14,Insider Threat,Banking Trojan;Remote Access Trojan,Valid Accounts,alias_id,T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation,initial-access"
13,14,Insider Threat,Banking Trojan;Remote Access Trojan,Obfuscated Files or Information,name_exact,T1027,Obfuscated Files or Information,defense-evasion
14,15,DDoS,Remote Access Trojan;Banking Trojan,Account Manipulation,name_exact,T1098,Account Manipulation,"persistence,privilege-escalation"
14,15,DDoS,Remote Access Trojan;Banking Trojan,Exfiltration,name_contains,T1567,Exfiltration Over Web Service,exfiltration
14,15,DDoS,Remote Access Trojan;Banking Trojan,Rootkit,name_exact,T1014,Rootkit,defense-evasion
14,15,DDoS,Remote Access Trojan;Banking Trojan,Application Layer Protocol,name_exact,T1071,Application Layer Protocol,command-and-control
14,15,DDoS,Remote Access Trojan;Banking Trojan,Privilege Escalation,name_contains,T1068,Exploitation for Privilege Escalation,privilege-escalation
14,15,DDoS,Remote Access Trojan;Banking Trojan,Credential Access,name_contains,T1212,Exploitation for Credential Access,credential-access
15,16,Ransomware,Insider Threat;DDoS;Supply Chain,Process Injection,name_exact,T1055,Process Injection,"defense-evasion,privilege-escalation"
15,16,Ransomware,Insider Threat;DDoS;Supply Chain,Data Staged,alias_id,T1074,Data Staged,collection
15,16,Ransomware,Insider Threat;DDoS;Supply Chain,Account Manipulation,name_exact,T1098,Account Manipulation,"persistence,privilege-escalation"
15,16,Ransomware,Insider Threat;DDoS;Supply Chain,Discovery,name_contains,T1033,System Owner/User Discovery,discovery
15,16,Ransomware,Insider Threat;DDoS;Supply Chain,Command and Scripting Interpreter,alias_id,T1059,Command and Scripting Interpreter,execution
15,16,Ransomware,Insider Threat;DDoS;Supply Chain,System Information Discovery,name_exact,T1082,System Information Discovery,discovery
15,16,Ransomware,Insider Threat;DDoS;Supply Chain,Valid Accounts,alias_id,T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation,initial-access"
15,16,Ransomware,Insider Threat;DDoS;Supply Chain,Boot or Logon Autostart Execution,name_exact,T1547,Boot or Logon Autostart Execution,"persistence,privilege-escalation"
15,16,Ransomware,Insider Threat;DDoS;Supply Chain,Remote System Discovery,name_exact,T1018,Remote System Discovery,discovery
16,17,Insider Threat,Insider Threat;DDoS;Crypto Miner,Persistence,name_contains,T1070.009,Clear Persistence,defense-evasion
16,17,Insider Threat,Insider Threat;DDoS;Crypto Miner,Defense Evasion,name_contains,T1211,Exploitation for Defense Evasion,defense-evasion
16,17,Insider Threat,Insider Threat;DDoS;Crypto Miner,Password Spraying,name_exact,T1110.003,Password Spraying,credential-access
16,17,Insider Threat,Insider Threat;DDoS;Crypto Miner,System Information Discovery,name_exact,T1082,System Information Discovery,discovery
16,17,Insider Threat,Insider Threat;DDoS;Crypto Miner,Windows Management Instrumentation,alias_id,T1047,Windows Management Instrumentation,execution
16,17,Insider Threat,Insider Threat;DDoS;Crypto Miner,Impact,name_contains,T1486,Data Encrypted for Impact,impact
16,17,Insider Threat,Insider Threat;DDoS;Crypto Miner,Discovery,name_contains,T1033,System Owner/User Discovery,discovery
16,17,Insider Threat,Insider Threat;DDoS;Crypto Miner,Privilege Escalation,name_contains,T1068,Exploitation for Privilege Escalation,privilege-escalation
16,17,Insider Threat,Insider Threat;DDoS;Crypto Miner,Rootkit,name_exact,T1014,Rootkit,defense-evasion
17,18,Supply Chain,Web Shell;Data Breach,Execution,name_contains,T1548.004,Elevated Execution with Prompt,"privilege-escalation,defense-evasion"
17,18,Supply Chain,Web Shell;Data Breach,Valid Accounts,alias_id,T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation,initial-access"
17,18,Supply Chain,Web Shell;Data Breach,Unsecured Credentials,name_exact,T1552,Unsecured Credentials,credential-access
17,18,Supply Chain,Web Shell;Data Breach,Defense Evasion,name_contains,T1211,Exploitation for Defense Evasion,defense-evasion
18,19,Ransomware,Web Shell,Drive-by Compromise,name_exact,T1189,Drive-by Compromise,initial-access
18,19,Ransomware,Web Shell,Signed Binary Proxy Execution,alias_id,T1218,System Binary Proxy Execution,defense-evasion
18,19,Ransomware,Web Shell,Process Injection,name_exact,T1055,Process Injection,"defense-evasion,privilege-escalation"
19,20,Insider Threat,Data Breach;Remote Access Trojan;Ransomware,File and Directory Discovery,name_exact,T1083,File and Directory Discovery,discovery
19,20,Insider Threat,Data Breach;Remote Access Trojan;Ransomware,Trusted Relationship,name_exact,T1199,Trusted Relationship,initial-access
19,20,Insider Threat,Data Breach;Remote Access Trojan;Ransomware,Process Injection,name_exact,T1055,Process Injection,"defense-evasion,privilege-escalation"
19,20,Insider Threat,Data Breach;Remote Access Trojan;Ransomware,Command and Control,name_contains,T1094,Custom Command and Control Protocol,command-and-control
19,20,Insider Threat,Data Breach;Remote Access Trojan;Ransomware,Application Layer Protocol,name_exact,T1071,Application Layer Protocol,command-and-control
19,20,Insider Threat,Data Breach;Remote Access Trojan;Ransomware,Service Stop,alias_id,T1489,Service Stop,impact
19,20,Insider Threat,Data Breach;Remote Access Trojan;Ransomware,Custom Command and Control Protocol,name_exact,T1094,Custom Command and Control Protocol,command-and-control
19,20,Insider Threat,Data Breach;Remote Access Trojan;Ransomware,Data Encrypted for Impact,name_exact,T1486,Data Encrypted for Impact,impact
19,20,Insider Threat,Data Breach;Remote Access Trojan;Ransomware,Password Spraying,name_exact,T1110.003,Password Spraying,credential-access
19,20,Insider Threat,Data Breach;Remote Access Trojan;Ransomware,Credential Access,name_contains,T1212,Exploitation for Credential Access,credential-access
20,21,Data Breach,Ransomware;Supply Chain;Remote Access Trojan,Command and Control,name_contains,T1094,Custom Command and Control Protocol,command-and-control
20,21,Data Breach,Ransomware;Supply Chain;Remote Access Trojan,Obfuscated Files or Information,name_exact,T1027,Obfuscated Files or Information,defense-evasion
20,21,Data Breach,Ransomware;Supply Chain;Remote Access Trojan,Pass the Hash,name_exact,T1550.002,Pass the Hash,"defense-evasion,lateral-movement"
20,21,Data Breach,Ransomware;Supply Chain;Remote Access Trojan,Network Service Scanning,alias_id,T1046,Network Service Discovery,discovery
20,21,Data Breach,Ransomware;Supply Chain;Remote Access Trojan,Persistence,name_contains,T1070.009,Clear Persistence,defense-evasion
20,21,Data Breach,Ransomware;Supply Chain;Remote Access Trojan,Phishing,name_exact,T1566,Phishing,initial-access
20,21,Data Breach,Ransomware;Supply Chain;Remote Access Trojan,Data Exfiltration Over Web Service,alias_id,T1567.002,Exfiltration to Cloud Storage,exfiltration
20,21,Data Breach,Ransomware;Supply Chain;Remote Access Trojan,Remote Services,name_exact,T1021,Remote Services,lateral-movement
20,21,Data Breach,Ransomware;Supply Chain;Remote Access Trojan,Discovery,name_contains,T1033,System Owner/User Discovery,discovery
20,21,Data Breach,Ransomware;Supply Chain;Remote Access Trojan,Command and Scripting Interpreter,alias_id,T1059,Command and Scripting Interpreter,execution
21,22,Web Shell,Remote Access Trojan;Web Shell,Remote Services,name_exact,T1021,Remote Services,lateral-movement
21,22,Web Shell,Remote Access Trojan;Web Shell,Signed Binary Proxy Execution,alias_id,T1218,System Binary Proxy Execution,defense-evasion
21,22,Web Shell,Remote Access Trojan;Web Shell,Custom Command and Control Protocol,name_exact,T1094,Custom Command and Control Protocol,command-and-control
21,22,Web Shell,Remote Access Trojan;Web Shell,Rootkit,name_exact,T1014,Rootkit,defense-evasion
21,22,Web Shell,Remote Access Trojan;Web Shell,Data Staged,alias_id,T1074,Data Staged,collection
21,22,Web Shell,Remote Access Trojan;Web Shell,Drive-by Compromise,name_exact,T1189,Drive-by Compromise,initial-access
22,23,Phishing,Phishing;Web Shell,Data Exfiltration Over Web Service,alias_id,T1567.002,Exfiltration to Cloud Storage,exfiltration
22,23,Phishing,Phishing;Web Shell,Account Manipulation,name_exact,T1098,Account Manipulation,"persistence,privilege-escalation"
22,23,Phishing,Phishing;Web Shell,Unsecured Credentials,name_exact,T1552,Unsecured Credentials,credential-access
22,23,Phishing,Phishing;Web Shell,Privilege Escalation,name_contains,T1068,Exploitation for Privilege Escalation,privilege-escalation
22,23,Phishing,Phishing;Web Shell,Execution,name_contains,T1548.004,Elevated Execution with Prompt,"privilege-escalation,defense-evasion"
23,24,Data Breach,Supply Chain,Phishing,name_exact,T1566,Phishing,initial-access
23,24,Data Breach,Supply Chain,Supply Chain Compromise,name_exact,T1195,Supply Chain Compromise,initial-access
23,24,Data Breach,Supply Chain,User Execution,alias_id,T1204,User Execution,execution
24,25,Remote Access Trojan,Ransomware;DDoS;Web Shell,Data Destruction,name_exact,T1485,Data Destruction,impact
24,25,Remote Access Trojan,Ransomware;DDoS;Web Shell,Scheduled Task/Job,alias_id,T1053,Scheduled Task/Job,"execution,persistence,privilege-escalation"
24,25,Remote Access Trojan,Ransomware;DDoS;Web Shell,Valid Accounts,alias_id,T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation,initial-access"
24,25,Remote Access Trojan,Ransomware;DDoS;Web Shell,Windows Management Instrumentation,alias_id,T1047,Windows Management Instrumentation,execution
24,25,Remote Access Trojan,Ransomware;DDoS;Web Shell,Drive-by Compromise,name_exact,T1189,Drive-by Compromise,initial-access
24,25,Remote Access Trojan,Ransomware;DDoS;Web Shell,Credential Access,name_contains,T1212,Exploitation for Credential Access,credential-access
24,25,Remote Access Trojan,Ransomware;DDoS;Web Shell,Execution,name_contains,T1548.004,Elevated Execution with Prompt,"privilege-escalation,defense-evasion"
25,26,Web Shell,Phishing;Remote Access Trojan;Banking Trojan,Phishing,name_exact,T1566,Phishing,initial-access
25,26,Web Shell,Phishing;Remote Access Trojan;Banking Trojan,Spearphishing Link,name_exact,T1598.003,Spearphishing Link,reconnaissance
25,26,Web Shell,Phishing;Remote Access Trojan;Banking Trojan,Signed Binary Proxy Execution,alias_id,T1218,System Binary Proxy Execution,defense-evasion
25,26,Web Shell,Phishing;Remote Access Trojan;Banking Trojan,Boot or Logon Autostart Execution,name_exact,T1547,Boot or Logon Autostart Execution,"persistence,privilege-escalation"
25,26,Web Shell,Phishing;Remote Access Trojan;Banking Trojan,Scheduled Task/Job,alias_id,T1053,Scheduled Task/Job,"execution,persistence,privilege-escalation"
25,26,Web Shell,Phishing;Remote Access Trojan;Banking Trojan,Discovery,name_contains,T1033,System Owner/User Discovery,discovery
25,26,Web Shell,Phishing;Remote Access Trojan;Banking Trojan,Password Spraying,name_exact,T1110.003,Password Spraying,credential-access
26,27,Data Breach,Phishing,Execution,name_contains,T1548.004,Elevated Execution with Prompt,"privilege-escalation,defense-evasion"
26,27,Data Breach,Phishing,Defense Evasion,name_contains,T1211,Exploitation for Defense Evasion,defense-evasion
26,27,Data Breach,Phishing,Brute Force,alias_id,T1110,Brute Force,credential-access
27,28,Banking Trojan,Supply Chain,File and Directory Discovery,name_exact,T1083,File and Directory Discovery,discovery
27,28,Banking Trojan,Supply Chain,Password Spraying,name_exact,T1110.003,Password Spraying,credential-access
27,28,Banking Trojan,Supply Chain,Trusted Relationship,name_exact,T1199,Trusted Relationship,initial-access
28,29,Data Breach,Web Shell;Banking Trojan,Exfiltration,name_contains,T1567,Exfiltration Over Web Service,exfiltration
28,29,Data Breach,Web Shell;Banking Trojan,Signed Binary Proxy Execution,alias_id,T1218,System Binary Proxy Execution,defense-evasion
28,29,Data Breach,Web Shell;Banking Trojan,System Information Discovery,name_exact,T1082,System Information Discovery,discovery
28,29,Data Breach,Web Shell;Banking Trojan,Impact,name_contains,T1486,Data Encrypted for Impact,impact
28,29,Data Breach,Web Shell;Banking Trojan,Credential Access,name_contains,T1212,Exploitation for Credential Access,credential-access
28,29,Data Breach,Web Shell;Banking Trojan,Defense Evasion,name_contains,T1211,Exploitation for Defense Evasion,defense-evasion
29,30,Remote Access Trojan,DDoS;Web Shell,Network Service Scanning,alias_id,T1046,Network Service Discovery,discovery
29,30,Remote Access Trojan,DDoS;Web Shell,Obfuscated Files or Information,name_exact,T1027,Obfuscated Files or Information,defense-evasion
29,30,Remote Access Trojan,DDoS;Web Shell,Boot or Logon Autostart Execution,name_exact,T1547,Boot or Logon Autostart Execution,"persistence,privilege-escalation"
29,30,Remote Access Trojan,DDoS;Web Shell,Valid Accounts,alias_id,T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation,initial-access"
30,31,Insider Threat,DDoS,Impact,name_contains,T1486,Data Encrypted for Impact,impact
30,31,Insider Threat,DDoS,Defense Evasion,name_contains,T1211,Exploitation for Defense Evasion,defense-evasion
31,32,Data Breach,Phishing,Data Staged,alias_id,T1074,Data Staged,collection
32,33,Crypto Miner,Phishing,Spearphishing Link,name_exact,T1598.003,Spearphishing Link,reconnaissance
32,33,Crypto Miner,Phishing,Phishing,name_exact,T1566,Phishing,initial-access
32,33,Crypto Miner,Phishing,Obfuscated Files or Information,name_exact,T1027,Obfuscated Files or Information,defense-evasion
33,34,Supply Chain,Phishing;Remote Access Trojan;Insider Threat,Internal Spearphishing,name_exact,T1534,Internal Spearphishing,lateral-movement
33,34,Supply Chain,Phishing;Remote Access Trojan;Insider Threat,Data Exfiltration Over Web Service,alias_id,T1567.002,Exfiltration to Cloud Storage,exfiltration
33,34,Supply Chain,Phishing;Remote Access Trojan;Insider Threat,Persistence,name_contains,T1070.009,Clear Persistence,defense-evasion
33,34,Supply Chain,Phishing;Remote Access Trojan;Insider Threat,Access Token Manipulation,alias_id,T1134,Access Token Manipulation,"defense-evasion,privilege-escalation"
33,34,Supply Chain,Phishing;Remote Access Trojan;Insider Threat,Valid Accounts,alias_id,T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation,initial-access"
33,34,Supply Chain,Phishing;Remote Access Trojan;Insider Threat,Brute Force,alias_id,T1110,Brute Force,credential-access
33,34,Supply Chain,Phishing;Remote Access Trojan;Insider Threat,Discovery,name_contains,T1033,System Owner/User Discovery,discovery
34,35,Ransomware,Banking Trojan;Phishing;Remote Access Trojan,Discovery,name_contains,T1033,System Owner/User Discovery,discovery
34,35,Ransomware,Banking Trojan;Phishing;Remote Access Trojan,Remote System Discovery,name_exact,T1018,Remote System Discovery,discovery
34,35,Ransomware,Banking Trojan;Phishing;Remote Access Trojan,Persistence,name_contains,T1070.009,Clear Persistence,defense-evasion
34,35,Ransomware,Banking Trojan;Phishing;Remote Access Trojan,Credential Access,name_contains,T1212,Exploitation for Credential Access,credential-access
34,35,Ransomware,Banking Trojan;Phishing;Remote Access Trojan,Exfiltration,name_contains,T1567,Exfiltration Over Web Service,exfiltration
34,35,Ransomware,Banking Trojan;Phishing;Remote Access Trojan,Masquerading,name_exact,T1036,Masquerading,defense-evasion
34,35,Ransomware,Banking Trojan;Phishing;Remote Access Trojan,Account Manipulation,name_exact,T1098,Account Manipulation,"persistence,privilege-escalation"
35,36,Crypto Miner,Crypto Miner;Ransomware;Supply Chain,Masquerading,name_exact,T1036,Masquerading,defense-evasion
35,36,Crypto Miner,Crypto Miner;Ransomware;Supply Chain,Execution,name_contains,T1548.004,Elevated Execution with Prompt,"privilege-escalation,defense-evasion"
35,36,Crypto Miner,Crypto Miner;Ransomware;Supply Chain,Rootkit,name_exact,T1014,Rootkit,defense-evasion
35,36,Crypto Miner,Crypto Miner;Ransomware;Supply Chain,Remote Services,name_exact,T1021,Remote Services,lateral-movement
35,36,Crypto Miner,Crypto Miner;Ransomware;Supply Chain,Valid Accounts,alias_id,T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation,initial-access"
35,36,Crypto Miner,Crypto Miner;Ransomware;Supply Chain,OS Credential Dumping,name_exact,T1003,OS Credential Dumping,credential-access
35,36,Crypto Miner,Crypto Miner;Ransomware;Supply Chain,Privilege Escalation,name_contains,T1068,Exploitation for Privilege Escalation,privilege-escalation
36,37,Data Breach,Insider Threat;Web Shell;Data Breach,Impact,name_contains,T1486,Data Encrypted for Impact,impact
36,37,Data Breach,Insider Threat;Web Shell;Data Breach,Discovery,name_contains,T1033,System Owner/User Discovery,discovery
36,37,Data Breach,Insider Threat;Web Shell;Data Breach,Unsecured Credentials,name_exact,T1552,Unsecured Credentials,credential-access
36,37,Data Breach,Insider Threat;Web Shell;Data Breach,Credential Access,name_contains,T1212,Exploitation for Credential Access,credential-access
